Ankogel,2636,1267,1369, 6, 2,0,0,0,0,0,0, 4,    12      ,,,,,    13        ,,    7        ,    28        ,    14        ,, 19/12 - 27/3,                от  €0.00 до  €44.00                ,46.98333359,13.16666698,Ankogel,Анкогель,Анкогель / Ankogel,Каринтия,carinthia,Австрия,А,нкогель / Ankogel,Ankogel,http://www.skifidelity.at/ankogel-mallnitz/,
Bad Kleinkirchheim,2055,1100,955, 26, 4,0,0,0, 7,0,0, 15,,,,,,    103        ,    1      ,    4        ,    36        ,    40        ,, 28/11 -  3/4,                от  €14.50 до  €45.00                ,46.83777618,13.76194477,Bad-Kleinkirchheim,Бад-Кляйнкирххайм,Бад-Кляйнкирххайм / Bad-Kleinkirchheim,Каринтия,carinthia,Австрия,Б,ад-Кляйнкирххайм / Bad-Kleinkirchheim,Bad-Kleinkirchheim,http://www.vondenpistenindiethermen.com/winter/index.htm,
Bodental,1200,1000,200, 2,0,0,0,0,0,0,0, 2,,,,,,    4        ,,,,    1        ,, 12/12 -  3/4,                от €13.50 до €21.00                ,46.53833389,14.30611134,Bodental,Боденталь,Боденталь / Bodental,Каринтия,carinthia,Австрия,Б,оденталь / Bodental,Bodental,http://www.carnica-rosental.at,
Dreilandereck,1600,680,920, 9,0,0,0,0,0, 1,0, 8,,,,,,    17        ,,    4        ,    25        ,    21        ,    17        , 19/12 - 27/3,                от  €14.50 до  €33.50                ,46.5233345,13.71722221,Dreilandereck,Драйландерек,Драйландерек / Dreilandereck,Каринтия,carinthia,Австрия,Д,райландерек / Dreilandereck,3laendereck,http://www.3laendereck.at/,
Falkert,2300,1700,600, 5,0,0,0,0,0,0,0, 5,,,,,,    10        ,    1      ,,    7        ,    4        ,, 12/12 -  3/4,                от  €14.50 до  €29.00                ,46.86388779,13.81888866,Falkert,Фалькерт,Фалькерт / Falkert,Каринтия,carinthia,Австрия,Ф,алькерт / Falkert,Skigebiet-falkert,http://www.skihit.at/,
Flattnitz,1860,1400,460, 5,0,0,0,0, 1,0,0, 3,    6      ,,,,,    11        ,,,,,, 12/12 -  3/4,                от  €13.00 до  €27.00                ,46.93999863,14.02600002,Flattnitz,Флаттниц,Флаттниц / Flattnitz,Каринтия,carinthia,Австрия,Ф,латтниц / Flattnitz,Flattnitz,http://www.flattnitz.net,
Gerlitzen,1911,520,1391, 18, 1,0, 1,0, 6,0,0, 7,    26      ,,,,,    39        ,,,,,, 28/11 -  3/4,                от  €17.50 до  €43.50                ,46.69638824,13.91444397,Gerlitzen,Герлитцен,Герлитцен / Gerlitzen,Каринтия,carinthia,Австрия,Г,ерлитцен / Gerlitzen,Gerlitzen,http://www.gerlitzen.com/,
Goldeck Bergbahnen,2142,550,1500, 9, 2,0, 2,0,0,0,0, 5,    9      ,,,,,    25        ,    1      ,    8        ,    25        ,    17        ,    17        , 19/12 -  3/4,                от  €16.00 до  €39.00                ,46.77999878,13.47000027,Goldeck-Bergbahnen,Голдек-Бергбанен,Голдек-Бергбанен / Goldeck-Bergbahnen,Каринтия,carinthia,Австрия,Г,олдек-Бергбанен / Goldeck-Bergbahnen,Goldeck,http://www.goldeck-spittal.at/,
Grossglockner - Heiligenblut,2902,1301,1500, 11, 4,0,0,0, 1,0,0, 6,    14      ,,,,,    55        ,,,,,,  5/12 - 10/4,                от  €14.50 до  €42.00                ,47.04027939,12.84111118,Grossglockner-Heiligenblut,Гроссглокнер-Хайлигенблут,Гроссглокнер-Хайлигенблут / Grossglockner-Heiligenblut,Каринтия,carinthia,Австрия,Г,россглокнер-Хайлигенблут / Grossglockner-Heiligenblut,Heiligenblut-Groglockner,http://www.skiheiligenblut.at/,
Innerkrems,2200,1500,700, 9,0,0,0,0, 2,0,0, 6,,,,,,    36        ,    1      ,,,    12        ,, 19/12 -  3/4,                от  €11.50 до  €37.50                ,46.96666718,13.71666718,Innerkrems,Иннеркремсе,Иннеркремсе / Innerkrems,Каринтия,carinthia,Австрия,И,ннеркремсе / Innerkrems,Innerkrems-schonfeld-kaseralm,http://www.innerkrems.at/,
Topskiregion Katschberg,2220,1066,1154, 16, 2,0, 2,0, 2, 1,0, 8,    34      ,,,,,    70        ,    1      ,    6        ,    73        ,    73        ,    70        , 28/11 - 10/4,                от  €18.50 до  €43.00                ,47.05527878,13.62722206,Katschberg,Качберг,Качберг / Katschberg,Каринтия,carinthia,Австрия,К,ачберг / Katschberg,Katschberg,http://www.katschbergbahnen.at/,
Klippitztoerl,1818,1460,358, 6,0,0,0,0, 1,0,0, 4,,,,,,    28        ,,,    11        ,,,  5/12 - 28/3,                от  €16.50 до  €33.00                ,46.94111252,14.72611141,Klippitztoerl,Клипптцтоерл,Клипптцтоерл / Klippitztoerl,Каринтия,carinthia,Австрия,К,липптцтоерл / Klippitztoerl,Klippitztorl,http://www.klippitz.at/,
Koralpe,2070,1535,535, 6,0,0,0,0, 1,0,0, 5,    18      ,,,,,    24        ,    1      ,    3        ,    22        ,    18        ,    20        ,  5/12 - 28/3,                от  €14.50 до  €31.00                ,46.80138779,14.94666672,Koralpe,Коральпе,Коральпе / Koralpe,Каринтия,carinthia,Австрия,К,оральпе / Koralpe,Koralpe,http://www.koralpe.com,
Kotschach - Mauthen,1300,700,600, 4,0,0,0,0,0,0,0, 3,    4      ,,,,,    5        ,,    3        ,,    2        ,    4        , 20/12 - 12/3,                от €12.50 до €31.00                ,46.687661,12.979488,Kotschach-Mauthen,Кечах-Маутен,Кечах-Маутен / Kotschach-Mauthen,Каринтия,carinthia,Австрия,К,ечах-Маутен / Kotschach-Mauthen,Kotschach-Mauthen,http://www.koemau.com,
Moelltaler Glacier,3122,1200,1922, 9, 2,0, 1,0, 2,0,0, 2,    17      ,,,,,    17        ,    1      ,    7        ,,,, 20/6 -  8/5,                от  €0.00 до  €44.00                ,47.01361084,13.02361107,Moelltaler-Glacier,Молььталь-Глетчер,Молььталь-Глетчер / Moelltaler-Glacier,Каринтия,carinthia,Австрия,М,олььталь-Глетчер / Moelltaler-Glacier,Molltaler-Gletscher,http://www.gletscher.co.at/,
Nassfeld Hermagor,2200,610,1590, 30, 5,0, 5, 3, 1,0,0, 16,    41      ,,,,,    110        ,    2      ,    8        ,    121        ,    121        ,    110        ,  4/12 - 10/4,                от  €19.00 до  €45.00                ,46.58527756,13.25694466,Nassfeld-Hermagor,Нассфельд-Хермагор,Нассфельд-Хермагор / Nassfeld-Hermagor,Каринтия,carinthia,Австрия,Н,ассфельд-Хермагор / Nassfeld-Hermagor,Nassfeld,http://www.skiarena.at/,
Petzen,1709,680,1029, 5, 1,0,0,0,0,0,0, 4,,,,,,    27        ,,,,,, 28/11 -  3/4,                от  €10.00 до  €28.00                ,46.51666641,14.76665974,Petzen,Петцен,Петцен / Petzen,Каринтия,carinthia,Австрия,П,етцен / Petzen,Petzen,http://www.petzen.net/,
Simonhoehe,1340,800,540, 9,0,0,0,0,0,0,0, 9,,,,,,    13        ,,,,,, 19/12 - 20/3,                от  €15.00 до  €29.00                ,46.75166702,14.16916656,Simonhoehe,Симонхох,Симонхох / Simonhoehe,Каринтия,carinthia,Австрия,С,имонхох / Simonhoehe,Simonhohe,http://www.simonhoehe.at/,
Sirnitz - Albeck - Hochrindl,1888,1540,350, 7,0,0,0,0, 1,0,0, 6,    10      ,,,,,    21        ,    1      ,    2        ,    20        ,    20        ,    20        ,  5/12 - 13/3,                от  €15.50 до  €31.00                ,46.86750031,14.00055599,Sirnitz-Albeck-Hochrindl,Сирнитц-Альбек-Хохриндл,Сирнитц-Альбек-Хохриндл / Sirnitz-Albeck-Hochrindl,Каринтия,carinthia,Австрия,С,ирнитц-Альбек-Хохриндл / Sirnitz-Albeck-Hochrindl,Sirnitz-Albeck-Hochrindl,http://www.hochrindl.at/,
Weinebene,1886,1580,306, 8,0,0,0,0,0,0,0, 8,,,,,,    22        ,    1      ,,    9        ,    7        ,,  5/12 -  3/4,                от  €16.50 до  €28.00                ,46.83611298,15.01500034,Weinebene,Вайнебене,Вайнебене / Weinebene,Каринтия,carinthia,Австрия,В,айнебене / Weinebene,Weinebene,http://www.weinebene.at/,
